pkey,pkey_cat,icd9_code,icd10_code,flags
0010-A000,icd9-icd10,0010,A000,00000
0011-A001,icd9-icd10,0011,A001,00000
0019-A009,icd9-icd10,0019,A009,00000
0020-A0100,icd9-icd10,0020,A0100,10000
0021-A011,icd9-icd10,0021,A011,00000
0022-A012,icd9-icd10,0022,A012,00000
0023-A013,icd9-icd10,0023,A013,00000
0029-A014,icd9-icd10,0029,A014,00000
0030-A020,icd9-icd10,0030,A020,00000
0031-A021,icd9-icd10,0031,A021,10000
00320-A0220,icd9-icd10,00320,A0220,00000
00321-A0221,icd9-icd10,00321,A0221,00000
00322-A0222,icd9-icd10,00322,A0222,00000
00323-A0223,icd9-icd10,00323,A0223,00000
00324-A0224,icd9-icd10,00324,A0224,00000
00329-A0229,icd9-icd10,00329,A0229,10000
0038-A028,icd9-icd10,0038,A028,00000
0039-A029,icd9-icd10,0039,A029,00000
0040-A030,icd9-icd10,0040,A030,00000
0041-A031,icd9-icd10,0041,A031,00000
0042-A032,icd9-icd10,0042,A032,00000
0043-A033,icd9-icd10,0043,A033,00000
0048-A038,icd9-icd10,0048,A038,00000
0049-A039,icd9-icd10,0049,A039,00000
0050-A050,icd9-icd10,0050,A050,00000
0051-A051,icd9-icd10,0051,A051,00000
0052-A052,icd9-icd10,0052,A052,00000
0053-A058,icd9-icd10,0053,A058,10000
0054-A053,icd9-icd10,0054,A053,00000
00581-A055,icd9-icd10,00581,A055,00000
00589-A054,icd9-icd10,00589,A054,10000
00589-A058,icd9-icd10,00589,A058,10000
0059-A059,icd9-icd10,0059,A059,00000
0060-A060,icd9-icd10,0060,A060,00000
0061-A061,icd9-icd10,0061,A061,00000
0062-A062,icd9-icd10,0062,A062,00000
0063-A064,icd9-icd10,0063,A064,00000
0064-A065,icd9-icd10,0064,A065,00000
0065-A066,icd9-icd10,0065,A066,00000
0066-A067,icd9-icd10,0066,A067,00000
0068-A0689,icd9-icd10,0068,A0689,10000
0069-A069,icd9-icd10,0069,A069,00000
0070-A070,icd9-icd10,0070,A070,00000
0071-A071,icd9-icd10,0071,A071,00000
0072-A073,icd9-icd10,0072,A073,00000
0073-A078,icd9-icd10,0073,A078,10000
0074-A072,icd9-icd10,0074,A072,00000
0075-A074,icd9-icd10,0075,A074,00000
0078-A078,icd9-icd10,0078,A078,10000
0079-A079,icd9-icd10,0079,A079,00000
00800-A044,icd9-icd10,00800,A044,10000
00801-A040,icd9-icd10,00801,A040,00000
00802-A041,icd9-icd10,00802,A041,00000
00803-A042,icd9-icd10,00803,A042,00000
00804-A043,icd9-icd10,00804,A043,00000
00809-A044,icd9-icd10,00809,A044,10000
